season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2016,2,45,TEN,HenrDe00,Derrick Henry,Alabama,RB,RB2,6-3,247.0,4.54,22.0,37.0,130.0,7.2,4.38,derrickhenryrbalabama,603.0,42.0,3591.0,80.0,6.0,HenrDe00,110.0,490.0,5.0,0.0,0.0,13.0,137.0,0.0,0.0,0.0,105.7
2016,3,73,MIA,DrakKe00,Kenyan Drake,Alabama,RB,RB3,6-1,210.0,4.45,10.0,34.5,123.0,7.04,4.21,kenyandrakerbalabama,233.0,18.0,1495.0,58.0,6.4,DrakKe00,33.0,179.0,2.0,0.0,0.0,9.0,46.0,0.0,0.0,0.0,43.5
2016,3,90,SEA,ProsC.00,C.J. Prosise,Notre Dame,RB,RB4,6-0,220.0,4.48,,35.5,121.0,,,cjprosiserbnotredame,166.0,12.0,1158.0,91.0,7.0,ProsC.00,30.0,172.0,1.0,0.0,0.0,17.0,208.0,0.0,0.0,0.0,61.0
2016,4,119,HOU,ErviTy00,Tyler Ervin,San Jose St.,RB,RB5,5-10,192.0,4.41,17.0,39.0,130.0,,,tylerervinrbsanjosest,,,,,,ErviTy00,1.0,3.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,5.1
2016,4,134,BAL,DixoKe00,Kenneth Dixon,Louisiana Tech,RB,RB6,5-10,215.0,4.56,18.0,37.5,121.0,6.97,4.28,kennethdixonrblouisianatech,801.0,72.0,4480.0,99.0,5.6,DixoKe00,88.0,382.0,2.0,1.0,0.0,30.0,162.0,1.0,0.0,0.0,102.4
2016,4,136,DEN,BookDe00,Devontae Booker,Utah,RB,RB7,5-11,219.0,4.56,22.0,,,,,devontaebookerrbutah,560.0,21.0,2773.0,76.0,5.0,BookDe00,174.0,612.0,4.0,2.0,1.0,31.0,265.0,1.0,2.0,2.0,142.7
2016,5,143,OAK,WashDe00,DeAndre Washington,Texas Tech,RB,RB8,5-8,204.0,4.49,24.0,34.5,116.0,7.03,4.2,deandrewashingtonrbtexastech,605.0,23.0,3411.0,80.0,5.6,WashDe00,87.0,467.0,2.0,1.0,1.0,17.0,115.0,0.0,0.0,0.0,85.2
2016,5,149,NYG,PerkPa00,Paul Perkins,UCLA,RB,RB9,5-10,208.0,4.54,19.0,32.0,124.0,,,paulperkinsrbucla,621.0,29.0,3488.0,92.0,5.6,PerkPa00,112.0,456.0,0.0,1.0,0.0,15.0,162.0,0.0,0.0,0.0,76.8
2016,5,150,CHI,HowaJo00,Jordan Howard,Indiana,RB,RB10,6-0,230.0,4.57,16.0,34.0,122.0,,,jordanhowardrbindiana,647.0,24.0,3681.0,55.0,5.7,HowaJo00,252.0,1313.0,6.0,1.0,1.0,29.0,298.0,1.0,1.0,0.0,230.1
2016,5,153,PHI,SmalWe00,Wendell Smallwood,West Virginia,RB,RB11,5-10,208.0,4.47,14.0,33.5,120.0,6.83,4.28,wendellsmallwoodrbwestvirginia,425.0,12.0,2462.0,52.0,5.8,SmalWe00,77.0,312.0,1.0,1.0,1.0,6.0,55.0,0.0,0.0,0.0,46.7
2016,5,156,BUF,WillJo07,Jonathan Williams,Arkansas,RB,RB12,5-11,220.0,4.56,16.0,,,,,jonathanwilliamsrbarkansas,406.0,16.0,2321.0,90.0,5.7,WillJo07,27.0,94.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.4
2016,5,171,SEA,CollAl00,Alex Collins,Arkansas,RB,RB13,5-10,217.0,4.59,18.0,28.5,113.0,,,alexcollinsrbarkansas,665.0,36.0,3703.0,84.0,5.6,CollAl00,31.0,125.0,1.0,2.0,1.0,11.0,84.0,0.0,0.0,0.0,35.9
2016,6,182,BAL,ReynKe00,Keenan Reynolds,Navy,RB,RB14,,,,,,,,,keenanreynoldsrbnavy,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,6,211,SFO,TaylKe01,Kelvin Taylor,Florida,RB,RB15,5-10,207.0,4.6,15.0,32.0,113.0,,,kelvintaylorrbflorida,486.0,23.0,2108.0,65.0,4.3,TaylKe01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,6,216,DAL,JackDa01,Darius Jackson,Eastern Michigan,RB,RB16,,,,,,,,,dariusjacksonrbeasternmichigan,304.0,16.0,1513.0,63.0,5.0,JackDa01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,7,236,DET,WashDw00,Dwayne Washington,Washington,RB,RB17,,,,,,,,,dwaynewashingtonrbwashington,226.0,17.0,1311.0,71.0,5.8,WashDw00,90.0,265.0,1.0,0.0,0.0,10.0,62.0,0.0,0.0,0.0,48.7
2016,7,237,NOR,LascDa00,Daniel Lasco,California,RB,RB18,6-0,209.0,4.46,23.0,41.5,135.0,7.22,4.26,daniellascorbcalifornia,348.0,18.0,1872.0,77.0,5.4,LascDa00,11.0,32.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,6.3
